DEBUG: General     , 1659312229815> 720,692> LoggerManager.init                  > Initializing...
DEBUG: Multiplayer , 1659312740560> 1,231,429> ItemTransactionManager.receiveOnServer> set accepted [ 2009965191 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312740655> 1,231,524> ItemTransactionManager.receiveOnServer> remove processed [ 2140156819 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312740655> 1,231,524> ItemTransactionManager.receiveOnServer> set accepted [ 200063036 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312741416> 1,232,284> ItemTransactionManager.receiveOnServer> remove processed [ 2009965191 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312741511> 1,232,379> ItemTransactionManager.receiveOnServer> remove processed [ 200063036 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312741511> 1,232,380> ItemTransactionManager.receiveOnServer> set accepted [ 1297173653 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312742340> 1,233,208> ItemTransactionManager.receiveOnServer> remove processed [ 1297173653 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312744175> 1,235,044> ItemTransactionManager.receiveOnServer> set accepted [ 258079079 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744276> 1,235,145> ItemTransactionManager.receiveOnServer> remove processed [ 258079079 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744287> 1,235,156> ItemTransactionManager.receiveOnServer> set accepted [ 575395217 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744395> 1,235,264> ItemTransactionManager.receiveOnServer> remove processed [ 575395217 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744395> 1,235,264> ItemTransactionManager.receiveOnServer> set accepted [ 1565945214 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744529> 1,235,398> ItemTransactionManager.receiveOnServer> remove processed [ 1565945214 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744529> 1,235,398> ItemTransactionManager.receiveOnServer> set accepted [ 338057209 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744635> 1,235,504> ItemTransactionManager.receiveOnServer> remove processed [ 338057209 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744635> 1,235,504> ItemTransactionManager.receiveOnServer> set accepted [ 1004907115 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312744843> 1,235,712> ItemTransactionManager.receiveOnServer> remove processed [ 1004907115 : -1 => 1107661086 ]
LOG  : General     , 1659312744914> 1,235,783> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312748330> 1,239,199> ItemTransactionManager.receiveOnServer> set accepted [ 2077622034 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312748849> 1,239,718> ItemTransactionManager.receiveOnServer> remove processed [ 2077622034 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312748978> 1,239,847> ItemTransactionManager.receiveOnServer> set accepted [ 281439860 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312750010> 1,240,879> ItemTransactionManager.receiveOnServer> remove processed [ 281439860 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312750010> 1,240,879> ItemTransactionManager.receiveOnServer> set accepted [ 492242447 : -1 => 813238156 ]
LOG  : General     , 1659312750014> 1,240,883> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312750845> 1,241,713> ItemTransactionManager.receiveOnServer> remove processed [ 492242447 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312750845> 1,241,714> ItemTransactionManager.receiveOnServer> set accepted [ 870290624 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312751694> 1,242,562> ItemTransactionManager.receiveOnServer> remove processed [ 870290624 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312751694> 1,242,563> ItemTransactionManager.receiveOnServer> set accepted [ 574119746 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312752548> 1,243,416> ItemTransactionManager.receiveOnServer> remove processed [ 574119746 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312752548> 1,243,416> ItemTransactionManager.receiveOnServer> set accepted [ 1472021431 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312753381> 1,244,249> ItemTransactionManager.receiveOnServer> remove processed [ 1472021431 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312753381> 1,244,250> ItemTransactionManager.receiveOnServer> set accepted [ 385905008 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312754212> 1,245,081> ItemTransactionManager.receiveOnServer> remove processed [ 385905008 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312754212> 1,245,081> ItemTransactionManager.receiveOnServer> set accepted [ 1043719404 : -1 => 813238156 ]
LOG  : General     , 1659312755014> 1,245,883> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312755062> 1,245,931> ItemTransactionManager.receiveOnServer> remove processed [ 1043719404 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312758575> 1,249,443> ItemTransactionManager.receiveOnServer> set accepted [ 19870429 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312759198> 1,250,066> ItemTransactionManager.receiveOnServer> set accepted [ 1240669791 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312759610> 1,250,478> ItemTransactionManager.receiveOnServer> remove processed [ 19870429 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312759610> 1,250,479> ItemTransactionManager.receiveOnServer> set accepted [ 121298138 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312760012> 1,250,881> ItemTransactionManager.receiveOnServer> remove processed [ 1240669791 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312760012> 1,250,881> ItemTransactionManager.receiveOnServer> set accepted [ 1969689644 : -1 => 1107661086 ]
LOG  : General     , 1659312760014> 1,250,883> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312760459> 1,251,328> ItemTransactionManager.receiveOnServer> remove processed [ 121298138 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312760459> 1,251,328> ItemTransactionManager.receiveOnServer> set accepted [ 1474215794 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312760859> 1,251,728> ItemTransactionManager.receiveOnServer> remove processed [ 1969689644 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312760859> 1,251,728> ItemTransactionManager.receiveOnServer> set accepted [ 1427087855 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312761296> 1,252,165> ItemTransactionManager.receiveOnServer> remove processed [ 1474215794 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312761296> 1,252,165> ItemTransactionManager.receiveOnServer> set accepted [ 518548187 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312761709> 1,252,578> ItemTransactionManager.receiveOnServer> remove processed [ 1427087855 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312761709> 1,252,578> ItemTransactionManager.receiveOnServer> set accepted [ 2097539923 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312762146> 1,253,014> ItemTransactionManager.receiveOnServer> remove processed [ 518548187 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312762146> 1,253,014> ItemTransactionManager.receiveOnServer> set accepted [ 659145162 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312762590> 1,253,458> ItemTransactionManager.receiveOnServer> remove processed [ 2097539923 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312762590> 1,253,459> ItemTransactionManager.receiveOnServer> set accepted [ 457489996 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312762979> 1,253,847> ItemTransactionManager.receiveOnServer> remove processed [ 659145162 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312763405> 1,254,273> ItemTransactionManager.receiveOnServer> remove processed [ 457489996 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312763405> 1,254,274> ItemTransactionManager.receiveOnServer> set accepted [ 1225021971 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312764231> 1,255,100> ItemTransactionManager.receiveOnServer> remove processed [ 1225021971 : -1 => 1107661086 ]
LOG  : General     , 1659312765014> 1,255,883> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312770015> 1,260,883> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312775131> 1,266,000> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312775749> 1,266,617> ItemTransactionManager.receiveOnServer> set accepted [ 2072967546 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312775949> 1,266,818> ItemTransactionManager.receiveOnServer> remove processed [ 2072967546 : -1 => 1107661086 ]
LOG  : General     , 1659312780215> 1,271,083> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312782600> 1,273,469> ItemTransactionManager.receiveOnServer> set accepted [ 2080337994 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312782892> 1,273,761> ItemTransactionManager.receiveOnServer> remove processed [ 2080337994 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312782892> 1,273,761> ItemTransactionManager.receiveOnServer> set accepted [ 1870311943 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312783728> 1,274,596> ItemTransactionManager.receiveOnServer> remove processed [ 1870311943 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312783728> 1,274,597> ItemTransactionManager.receiveOnServer> set accepted [ 1515917592 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312784586> 1,275,454> ItemTransactionManager.receiveOnServer> remove processed [ 1515917592 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312784586> 1,275,455> ItemTransactionManager.receiveOnServer> set accepted [ 329785898 : -1 => 1107661086 ]
LOG  : General     , 1659312785214> 1,276,083> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312785413> 1,276,282> ItemTransactionManager.receiveOnServer> remove processed [ 329785898 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312785413> 1,276,282> ItemTransactionManager.receiveOnServer> set accepted [ 1060691572 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312786263> 1,277,132> ItemTransactionManager.receiveOnServer> remove processed [ 1060691572 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312786263> 1,277,132> ItemTransactionManager.receiveOnServer> set accepted [ 93008256 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312787093> 1,277,962> ItemTransactionManager.receiveOnServer> remove processed [ 93008256 : -1 => 1107661086 ]
LOG  : General     , 1659312790314> 1,281,183> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312795414> 1,286,283> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312798080> 1,288,949> ItemTransactionManager.receiveOnServer> set accepted [ 186579192 : -1 => 813238156 ]
DEBUG: Multiplayer , 1659312798275> 1,289,144> ItemTransactionManager.receiveOnServer> remove processed [ 186579192 : -1 => 813238156 ]
LOG  : General     , 1659312800414> 1,291,283> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312805414> 1,296,283> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312810515> 1,301,383> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312812999> 1,303,868> ItemTransactionManager.receiveOnServer> set accepted [ 2090332186 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312813949> 1,304,818> ItemTransactionManager.receiveOnServer> remove processed [ 2090332186 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312813949> 1,304,818> ItemTransactionManager.receiveOnServer> set accepted [ 778002030 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312813983> 1,304,852> ItemTransactionManager.receiveOnServer> set accepted [ 2080337994 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312814736> 1,305,604> ItemTransactionManager.receiveOnServer> remove processed [ 2080337994 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312814736> 1,305,604> ItemTransactionManager.receiveOnServer> set accepted [ 1240669791 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312814831> 1,305,699> ItemTransactionManager.receiveOnServer> remove processed [ 1240669791 : 1107661086 => -1 ]
LOG  : General     , 1659312815515> 1,306,383> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312815961> 1,306,829> ItemTransactionManager.receiveOnServer> remove processed [ 778002030 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312815961> 1,306,830> ItemTransactionManager.receiveOnServer> set accepted [ 1915761632 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312816696> 1,307,565> ItemTransactionManager.receiveOnServer> set accepted [ 2080337994 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312816993> 1,307,862> ItemTransactionManager.receiveOnServer> remove processed [ 2080337994 : -1 => 1107661086 ]
DEBUG: Multiplayer , 1659312817963> 1,308,832> ItemTransactionManager.receiveOnServer> remove processed [ 1915761632 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312817963> 1,308,832> ItemTransactionManager.receiveOnServer> set accepted [ 53799568 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312819958> 1,310,826> ItemTransactionManager.receiveOnServer> remove processed [ 53799568 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312819958> 1,310,827> ItemTransactionManager.receiveOnServer> set accepted [ 281439860 : 813238156 => -1 ]
LOG  : General     , 1659312820515> 1,311,383> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312821978> 1,312,847> ItemTransactionManager.receiveOnServer> remove processed [ 281439860 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312821978> 1,312,847> ItemTransactionManager.receiveOnServer> set accepted [ 492242447 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312823761> 1,314,629> ItemTransactionManager.receiveOnServer> set accepted [ 2080337994 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312823997> 1,314,865> ItemTransactionManager.receiveOnServer> remove processed [ 492242447 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312823997> 1,314,865> ItemTransactionManager.receiveOnServer> set accepted [ 19870429 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312824515> 1,315,383> ItemTransactionManager.receiveOnServer> remove processed [ 2080337994 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312824515> 1,315,384> ItemTransactionManager.receiveOnServer> set accepted [ 1240669791 : 1107661086 => -1 ]
LOG  : General     , 1659312825614> 1,316,483> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312825996> 1,316,865> ItemTransactionManager.receiveOnServer> remove processed [ 19870429 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312825996> 1,316,865> ItemTransactionManager.receiveOnServer> set accepted [ 1373291689 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312826512> 1,317,381> ItemTransactionManager.receiveOnServer> remove processed [ 1240669791 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312826512> 1,317,381> ItemTransactionManager.receiveOnServer> set accepted [ 1751683391 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312827997> 1,318,865> ItemTransactionManager.receiveOnServer> remove processed [ 1373291689 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312827997> 1,318,865> ItemTransactionManager.receiveOnServer> set accepted [ 1086237336 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312828528> 1,319,397> ItemTransactionManager.receiveOnServer> remove processed [ 1751683391 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312828528> 1,319,397> ItemTransactionManager.receiveOnServer> set accepted [ 388287614 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312829987> 1,320,856> ItemTransactionManager.receiveOnServer> remove processed [ 1086237336 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312829987> 1,320,856> ItemTransactionManager.receiveOnServer> set accepted [ 870290624 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312830555> 1,321,424> ItemTransactionManager.receiveOnServer> remove processed [ 388287614 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312830555> 1,321,424> ItemTransactionManager.receiveOnServer> set accepted [ 1969689644 : 1107661086 => -1 ]
LOG  : General     , 1659312830715> 1,321,583> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312831992> 1,322,861> ItemTransactionManager.receiveOnServer> remove processed [ 870290624 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312831992> 1,322,861> ItemTransactionManager.receiveOnServer> set accepted [ 121298138 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312832559> 1,323,428> ItemTransactionManager.receiveOnServer> remove processed [ 1969689644 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312832559> 1,323,428> ItemTransactionManager.receiveOnServer> set accepted [ 1870311943 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312834005> 1,324,874> ItemTransactionManager.receiveOnServer> remove processed [ 121298138 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312834005> 1,324,874> ItemTransactionManager.receiveOnServer> set accepted [ 1742181974 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312834581> 1,325,449> ItemTransactionManager.receiveOnServer> remove processed [ 1870311943 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312834581> 1,325,449> ItemTransactionManager.receiveOnServer> set accepted [ 1427087855 : 1107661086 => -1 ]
LOG  : General     , 1659312835714> 1,326,583> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312836027> 1,326,896> ItemTransactionManager.receiveOnServer> remove processed [ 1742181974 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312836027> 1,326,896> ItemTransactionManager.receiveOnServer> set accepted [ 1225355157 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312836598> 1,327,466> ItemTransactionManager.receiveOnServer> remove processed [ 1427087855 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312836598> 1,327,466> ItemTransactionManager.receiveOnServer> set accepted [ 1515917592 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312838025> 1,328,893> ItemTransactionManager.receiveOnServer> remove processed [ 1225355157 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312838025> 1,328,894> ItemTransactionManager.receiveOnServer> set accepted [ 574119746 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312838612> 1,329,481> ItemTransactionManager.receiveOnServer> remove processed [ 1515917592 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312838612> 1,329,481> ItemTransactionManager.receiveOnServer> set accepted [ 329785898 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312840046> 1,330,915> ItemTransactionManager.receiveOnServer> remove processed [ 574119746 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312840046> 1,330,915> ItemTransactionManager.receiveOnServer> set accepted [ 1474215794 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312840612> 1,331,481> ItemTransactionManager.receiveOnServer> remove processed [ 329785898 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312840612> 1,331,481> ItemTransactionManager.receiveOnServer> set accepted [ 2009965191 : 1107661086 => -1 ]
LOG  : General     , 1659312840814> 1,331,683> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312842040> 1,332,908> ItemTransactionManager.receiveOnServer> remove processed [ 1474215794 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312842040> 1,332,909> ItemTransactionManager.receiveOnServer> set accepted [ 2140156819 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312842633> 1,333,501> ItemTransactionManager.receiveOnServer> remove processed [ 2009965191 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312842633> 1,333,502> ItemTransactionManager.receiveOnServer> set accepted [ 2097539923 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312844045> 1,334,914> ItemTransactionManager.receiveOnServer> remove processed [ 2140156819 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312844045> 1,334,914> ItemTransactionManager.receiveOnServer> set accepted [ 1472021431 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312844633> 1,335,502> ItemTransactionManager.receiveOnServer> remove processed [ 2097539923 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312844633> 1,335,502> ItemTransactionManager.receiveOnServer> set accepted [ 1060691572 : 1107661086 => -1 ]
LOG  : General     , 1659312845915> 1,336,783> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312846038> 1,336,906> ItemTransactionManager.receiveOnServer> remove processed [ 1472021431 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312846038> 1,336,907> ItemTransactionManager.receiveOnServer> set accepted [ 385905008 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312846634> 1,337,502> ItemTransactionManager.receiveOnServer> remove processed [ 1060691572 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312846634> 1,337,503> ItemTransactionManager.receiveOnServer> set accepted [ 457489996 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312848043> 1,338,912> ItemTransactionManager.receiveOnServer> remove processed [ 385905008 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312848043> 1,338,912> ItemTransactionManager.receiveOnServer> set accepted [ 200063036 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312848628> 1,339,497> ItemTransactionManager.receiveOnServer> remove processed [ 457489996 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312848628> 1,339,497> ItemTransactionManager.receiveOnServer> set accepted [ 1225021971 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312850043> 1,340,911> ItemTransactionManager.receiveOnServer> remove processed [ 200063036 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312850043> 1,340,911> ItemTransactionManager.receiveOnServer> set accepted [ 1297173653 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312850633> 1,341,501> ItemTransactionManager.receiveOnServer> remove processed [ 1225021971 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312850633> 1,341,502> ItemTransactionManager.receiveOnServer> set accepted [ 93008256 : 1107661086 => -1 ]
LOG  : General     , 1659312851015> 1,341,883> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312852063> 1,342,931> ItemTransactionManager.receiveOnServer> remove processed [ 1297173653 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312852063> 1,342,932> ItemTransactionManager.receiveOnServer> set accepted [ 1043719404 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312852651> 1,343,520> ItemTransactionManager.receiveOnServer> remove processed [ 93008256 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312854060> 1,344,929> ItemTransactionManager.receiveOnServer> remove processed [ 1043719404 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312854060> 1,344,929> ItemTransactionManager.receiveOnServer> set accepted [ 518548187 : 813238156 => -1 ]
DEBUG: Multiplayer , 1659312854144> 1,345,013> ItemTransactionManager.receiveOnServer> remove processed [ 518548187 : 813238156 => -1 ]
LOG  : General     , 1659312856115> 1,346,983> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312858915> 1,349,784> command entered via server console (System.in): "invite-add@76561199187795983"
DEBUG: Multiplayer , 1659312859317> 1,350,185> ItemTransactionManager.receiveOnServer> set accepted [ 2077622034 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312860549> 1,351,417> ItemTransactionManager.receiveOnServer> remove processed [ 2077622034 : 1107661086 => -1 ]
LOG  : General     , 1659312861114> 1,351,983> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312865953> 1,356,822> ItemTransactionManager.receiveOnServer> set accepted [ 1350887043 : -1 => -1 ]
LOG  : General     , 1659312866114> 1,356,983> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312867194> 1,358,062> ItemTransactionManager.receiveOnServer> remove processed [ 1350887043 : -1 => -1 ]
DEBUG: Multiplayer , 1659312867227> 1,358,095> ItemTransactionManager.receiveOnServer> set accepted [ 258079079 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312867480> 1,358,348> ItemTransactionManager.receiveOnServer> remove processed [ 258079079 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312867480> 1,358,348> ItemTransactionManager.receiveOnServer> set accepted [ 575395217 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312867727> 1,358,595> ItemTransactionManager.receiveOnServer> remove processed [ 575395217 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312867727> 1,358,596> ItemTransactionManager.receiveOnServer> set accepted [ 1565945214 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312867977> 1,358,845> ItemTransactionManager.receiveOnServer> remove processed [ 1565945214 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312867977> 1,358,846> ItemTransactionManager.receiveOnServer> set accepted [ 2072967546 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312868493> 1,359,361> ItemTransactionManager.receiveOnServer> remove processed [ 2072967546 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312869861> 1,360,730> ItemTransactionManager.receiveOnServer> set accepted [ 1004907115 : 1107661086 => -1 ]
DEBUG: Multiplayer , 1659312870359> 1,361,228> ItemTransactionManager.receiveOnServer> remove processed [ 1004907115 : 1107661086 => -1 ]
LOG  : General     , 1659312871114> 1,361,983> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312871275> 1,362,144> command entered via server console (System.in): "invite-add@76561199187795983"
LOG  : General     , 1659312871275> 1,362,144> command entered via server console (System.in): "invite-add@76561198233812488"
LOG  : General     , 1659312876214> 1,367,083> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312881315> 1,372,183> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312886331> 1,377,200> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312891415> 1,382,283> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312896515> 1,387,383> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312901514> 1,392,383> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312906614> 1,397,483> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312911631> 1,402,500> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312916038> 1,406,907> ItemTransactionManager.receiveOnServer> set accepted [ 1350887043 : -1 => -1 ]
LOG  : General     , 1659312916714> 1,407,583> command entered via server console (System.in): "ping@pong"
DEBUG: Multiplayer , 1659312917276> 1,408,144> ItemTransactionManager.receiveOnServer> remove processed [ 1350887043 : -1 => -1 ]
LOG  : General     , 1659312921815> 1,412,683> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312926915> 1,417,783> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312932015> 1,422,883> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312937031> 1,427,900> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312942114> 1,432,983> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312947214> 1,438,083> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312952315> 1,443,183> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312957415> 1,448,283> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312962415> 1,453,283> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312967515> 1,458,383> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312972631> 1,463,500> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312973114> 1,463,983> command entered via server console (System.in): "invite-add@76561199187795983"
LOG  : General     , 1659312977714> 1,468,583> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312982814> 1,473,683> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312987914> 1,478,783> command entered via server console (System.in): "ping@pong"
LOG  : General     , 1659312993010> 1,483,879> 1659312993010 znet: OnP2PSessionRequest
